--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_agent_binding_authorize: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_agent_binding_check: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_agent_binding_context: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_agent_binding_encode: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_agent_binding_init: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_argon2id_core: 104 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ascon_aead128_encrypt: 201 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ascon_aead_absorb_ad: 97 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ascon_aead_absorb_ct: 197 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ascon_hash256: 97 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
